GID	GO
TRAESCS1B01G222400	GO:0000166
TRAESCS1B01G268400	GO:0000166
TRAESCS1D01G257300	GO:0000166
TRAESCS2B01G537500	GO:0000166
TRAESCS2D01G049500	GO:0000166
TRAESCS2D01G249200	GO:0000166
TRAESCS3A01G308100	GO:0000166
TRAESCS3D01G188800	GO:0000166
TRAESCS4A01G177600	GO:0000166
TRAESCS4D01G115500	GO:0000166
TRAESCS4D01G134900	GO:0000166
TRAESCS4D01G220500	GO:0000166
TRAESCS5A01G006100	GO:0000166
TRAESCS5A01G445100	GO:0000166
TRAESCS5D01G006100	GO:0000166
TRAESCS6A01G340300	GO:0000166
TRAESCS6B01G371500	GO:0000166
TRAESCS6D01G320800	GO:0000166
TRAESCS7A01G036200	GO:0000166
TRAESCS7A01G284900	GO:0000166
TRAESCS7B01G066000	GO:0000166
TRAESCS7B01G181700	GO:0000166
TRAESCS7B01G288300	GO:0000166
TRAESCS7D01G032800	GO:0000166
TRAESCSU01G009200	GO:0000166
TRAESCS3B01G282400	GO:0003674
TRAESCS3B01G282500	GO:0003674
TRAESCS2A01G156100	GO:0003676
TRAESCS2A01G249600	GO:0003676
TRAESCS2B01G181600	GO:0003676
TRAESCS2B01G271300	GO:0003676
TRAESCS2D01G161900	GO:0003676
TRAESCS2D01G251000	GO:0003676
TRAESCS3A01G393900	GO:0003676
TRAESCS3B01G425900	GO:0003676
TRAESCS3D01G387600	GO:0003676
TRAESCS4A01G272100	GO:0003676
TRAESCS4A01G293000	GO:0003676
TRAESCS4B01G020300	GO:0003676
TRAESCS3A01G041200	GO:0003677
TRAESCS3A01G385400	GO:0003677
TRAESCS3B01G394200	GO:0003677
TRAESCS3B01G417600	GO:0003677
TRAESCS3B01G594300	GO:0003677
TRAESCS3D01G039000	GO:0003677
TRAESCS3D01G088900	GO:0003677
TRAESCS3D01G188800	GO:0003677
TRAESCS3D01G347000	GO:0003677
TRAESCS3D01G378400	GO:0003677
TRAESCS3A01G041200	GO:0003700
TRAESCS3D01G039000	GO:0003700
TRAESCS3A01G105900	GO:0003723
TRAESCS3A01G268600	GO:0003723
TRAESCS3D01G003200	GO:0003723
TRAESCS3D01G003800	GO:0003723
TRAESCS4A01G272100	GO:0003723
TRAESCS4A01G298100	GO:0003723
TRAESCS4A01G342800	GO:0003723
TRAESCS4B01G028600	GO:0003723
TRAESCS4D01G026200	GO:0003723
TRAESCS4D01G115500	GO:0003723
TRAESCS4D01G151500	GO:0003723
TRAESCS5A01G253000	GO:0003723
